glyph_name,ps_name,USV,DesignerOrder,bcp47tags,Feat
kafThreedotsbelow-ar.medi,uni06AE.medi,,1050,,
kafThreedotsbelow-ar.init,uni06AE.init,,1051,,
gafTwodotsbelow-ar,uni06B2,06B2,1052,,
gafTwodotsbelow-ar.fina,uni06B2.fina,,1053,,
gafTwodotsbelow-ar.medi,uni06B2.medi,,1054,,
gafTwodotsbelow-ar.init,uni06B2.init,,1055,,
gafInvertedstroke-ar,uni08B0,08B0,1056,,
gafInvertedstroke-ar.fina,uni08B0.fina,,1057,,
gafInvertedstroke-ar.medi,uni08B0.medi,,1058,,
gafInvertedstroke-ar.init,uni08B0.init,,1059,,
ng-ar,uni06AD,06AD,1060,,
ng-ar.fina,uni06AD.fina,,1061,,
ng-ar.medi,uni06AD.medi,,1062,,
ng-ar.init,uni06AD.init,,1063,,
ngoeh-ar,uni06B1,06B1,1064,,
ngoeh-ar.fina,uni06B1.fina,,1065,,
ngoeh-ar.medi,uni06B1.medi,,1066,,
ngoeh-ar.init,uni06B1.init,,1067,,
gueh-ar,uni06B3,06B3,1068,,
gueh-ar.fina,uni06B3.fina,,1069,,
gueh-ar.medi,uni06B3.medi,,1070,,
gueh-ar.init,uni06B3.init,,1071,,
lam-ar,uni0644,0644,1072,,
lam-ar.fina,uni0644.fina,,1073,,
lam-ar.medi,uni0644.medi,,1074,,
lam-ar.init,uni0644.init,,1075,,
lam-ar.medi.preAlef,uni0644.medi.preAlef,,1078,,
lam-ar.init.preAlef,uni0644.init.preAlef,,1079,,
lamVabove-ar,uni06B5,06B5,1080,,
lamVabove-ar.fina,uni06B5.fina,,1081,,
lamVabove-ar.medi,uni06B5.medi,,1082,,
lamVabove-ar.init,uni06B5.init,,1083,,
lamVabove-ar.medi.preAlef,uni06B5.medi.preAlef,,1084,,
lamVabove-ar.init.preAlef,uni06B5.init.preAlef,,1085,,
lamDotabove-ar,uni06B6,06B6,1086,,
lamDotabove-ar.fina,uni06B6.fina,,1087,,
lamDotabove-ar.medi,uni06B6.medi,,1088,,
lamDotabove-ar.init,uni06B6.init,,1089,,
lamDotabove-ar.medi.preAlef,uni06B6.medi.preAlef,,1090,,
lamDotabove-ar.init.preAlef,uni06B6.init.preAlef,,1091,,
lamThreedotsabove-ar,uni06B7,06B7,1092,,
lamThreedotsabove-ar.fina,uni06B7.fina,,1093,,
lamThreedotsabove-ar.medi,uni06B7.medi,,1094,,
lamThreedotsabove-ar.init,uni06B7.init,,1095,,
lamThreedotsabove-ar.medi.preAlef,uni06B7.medi.preAlef,,1096,,
lamThreedotsabove-ar.init.preAlef,uni06B7.init.preAlef,,1097,,
lamTahabove-ar,uni08C7,08C7,1098,,
lamTahabove-ar.fina,uni08C7.fina,,1099,,
lamTahabove-ar.medi,uni08C7.medi,,1100,,
lamTahabove-ar.init,uni08C7.init,,1101,,
lamTahabove-ar.medi.preAlef,uni08C7.medi.preAlef,,1102,,
lamTahabove-ar.init.preAlef,uni08C7.init.preAlef,,1103,,
lamThreedotsbelow-ar,uni06B8,06B8,1104,,
lamThreedotsbelow-ar.fina,uni06B8.fina,,1105,,
lamThreedotsbelow-ar.medi,uni06B8.medi,,1106,,
lamThreedotsbelow-ar.init,uni06B8.init,,1107,,
lamThreedotsbelow-ar.medi.preAlef,uni06B8.medi.preAlef,,1108,,
lamThreedotsbelow-ar.init.preAlef,uni06B8.init.preAlef,,1109,,
lamBar-ar,uni076A,076A,1110,,
lamBar-ar.fina,uni076A.fina,,1111,,
lamBar-ar.medi,uni076A.medi,,1112,,
lamBar-ar.init,uni076A.init,,1113,,
lamBar-ar.medi.preAlef,uni076A.medi.preAlef,,1114,,
lamBar-ar.init.preAlef,uni076A.init.preAlef,,1115,,
lamDoublebar-ar,uni08A6,08A6,1116,,
lamDoublebar-ar.fina,uni08A6.fina,,1117,,
lamDoublebar-ar.medi,uni08A6.medi,,1118,,
lamDoublebar-ar.init,uni08A6.init,,1119,,
lamDoublebar-ar.medi.preAlef,uni08A6.medi.preAlef,,1120,,
lamDoublebar-ar.init.preAlef,uni08A6.init.preAlef,,1121,,
lam_alef-ar,uni06440627,0644 0627,1124.11,,
lam_alef-ar.fina,uni06440627.fina,,1124.12,,
lam_alefWavyhamzaabove-ar,uni06440672,0644 0672,1124.21,,
lam_alefWavyhamzaabove-ar.fina,uni06440672.fina,,1124.22,,
lam_alefWavyhamzabelow-ar,uni06440673,0644 0673,1124.31,,
lam_alefWavyhamzabelow-ar.fina,uni06440673.fina,,1124.32,,
lam_alefWasla-ar,uni06440671,0644 0671,1124.41,,
lam_alefWasla-ar.fina,uni06440671.fina,,1124.42,,
lam_alefTwoabove-ar,uni06440773,0644 0773,1124.51,,
lam_alefTwoabove-ar.fina,uni06440773.fina,,1124.52,,
lam_alefThreeabove-ar,uni06440774,0644 0774,1124.61,,
lam_alefThreeabove-ar.fina,uni06440774.fina,,1124.62,,
lamBar_alef-ar,uni076A0627,076A 0627,1126.11,,
lamBar_alef-ar-fina,uni076A0627.fina,,1126.12,,
lamBar_alefWavyhamzaabove-ar,uni076A0672,076A 0672,1126.21,,
lamBar_alefWavyhamzaabove-ar.fina,uni076A0672.fina,,1126.22,,
lamBar_alefWavyhamzabelow-ar,uni076A0673,076A 0673,1126.31,,
lamBar_alefWavyhamzabelow-ar.fina,uni076A0673.fina,,1126.32,,
lamBar_alefWasla-ar,uni076A0671,076A 0671,1126.41,,
lamBar_alefWasla-ar.fina,uni076A0671.fina,,1126.42,,
lamBar_alefTwoabove-ar,uni076A0772,076A 0773,1126.51,,
lamBar_alefTwoabove-ar.fina,uni076A0772.fina,,1126.52,,
lamBar_alefThreeabove-ar,uni076A0773,076A 0774,1126.61,,
lamBar_alefThreeabove-ar.fina,uni076A0773.fina,,1126.62,,
lamDotabove_alef-ar,uni06B60627,06B6 0627,1127.11,,
lamDotabove_alef-ar.fina,uni06B60627.fina,,1127.12,,
lamDotabove_alefWavyhamzaabove-ar,uni06B60672,06B6 0672,1127.21,,
